"","year","named_ind_from","mean_cm"
"434",2003,"No Colonizer",28.1388888888889
"435",2003,"Other",47.758064516129
"436",2003,"Portugal",117.64
"437",2003,"Russia",30.6857142857143
"438",2003,"Spain",38.5666666666667
"439",2003,"Turkey",16.7833333333333
"440",2003,"United States",27.7
"441",2004,"England",48.1613636363636
"442",2004,"France",105.44375
"443",2004,"Netherlands",22.175
"444",2004,"No Colonizer",26.5
"445",2004,"Other",45.5483870967742
"446",2004,"Portugal",112.02
"447",2004,"Russia",28.85
"448",2004,"Spain",37.0333333333333
"449",2004,"Turkey",15.9166666666667
"450",2004,"United States",27.275
"451",2005,"England",46.4409090909091
"452",2005,"France",102.10625
"453",2005,"Netherlands",19.9
"454",2005,"No Colonizer",24.9555555555556
"455",2005,"Other",43.3451612903226
"456",2005,"Portugal",106.46
"457",2005,"Russia",27.1571428571429
"458",2005,"Spain",35.5333333333333
"459",2005,"Turkey",15
"460",2005,"United States",26.925
"461",2006,"England",44.8045454545455
"462",2006,"France",98.85625
"463",2006,"Netherlands",19.15
"464",2006,"No Colonizer",23.5555555555556
"465",2006,"Other",41.2161290322581
"466",2006,"Portugal",100.98
"467",2006,"Russia",25.6
"468",2006,"Spain",34.1444444444444
"469",2006,"Turkey",14.0833333333333
"470",2006,"United States",26.525
"471",2007,"England",43.2068181818182
"472",2007,"France",95.68125
"473",2007,"Netherlands",18.45
"474",2007,"No Colonizer",22.3
"475",2007,"Other",39.1548387096774
"476",2007,"Portugal",95.38
"477",2007,"Russia",24.1714285714286
"478",2007,"Spain",32.8111111111111
"479",2007,"Turkey",13.25
"480",2007,"United States",26.15
"481",2008,"England",41.6477272727273
"482",2008,"France",92.49375
"483",2008,"Netherlands",17.8
"484",2008,"No Colonizer",21.1444444444444
"485",2008,"Other",37.1387096774194
"486",2008,"Portugal",90.04
"487",2008,"Russia",22.8357142857143
"488",2008,"Spain",31.5555555555556
"489",2008,"Turkey",12.5666666666667
"490",2008,"United States",25.775
"491",2009,"England",39.9295454545455
"492",2009,"France",89.40625
"493",2009,"Netherlands",17.15
"494",2009,"No Colonizer",20.0944444444444
"495",2009,"Other",35.358064516129
"496",2009,"Portugal",84.96
"497",2009,"Russia",21.5928571428571
"498",2009,"Spain",30.3333333333333
"499",2009,"Turkey",12.0166666666667
"500",2009,"United States",25.4
"501",2010,"England",38.2795454545455
"502",2010,"France",94.44375
"503",2010,"Netherlands",16.575
"504",2010,"No Colonizer",19.1388888888889
"505",2010,"Other",33.6838709677419
"506",2010,"Portugal",80.58
"507",2010,"Russia",20.4214285714286
"508",2010,"Spain",29.1777777777778
"509",2010,"Turkey",11.5833333333333
"510",2010,"United States",25.05
"511",2011,"England",36.9477272727273
"512",2011,"France",83.54375
"513",2011,"Netherlands",15.975
"514",2011,"No Colonizer",18.2611111111111
"515",2011,"Other",32.1870967741935
"516",2011,"Portugal",76.2
"517",2011,"Russia",19.35
"518",2011,"Spain",28.0777777777778
"519",2011,"Turkey",11.25
"520",2011,"United States",24.7
"521",2012,"England",35.6
"522",2012,"France",80.80625
"523",2012,"Netherlands",15.4
"524",2012,"No Colonizer",17.4055555555556
"525",2012,"Other",30.8870967741935
"526",2012,"Portugal",72.08
"527",2012,"Russia",18.3571428571429
"528",2012,"Spain",27.0111111111111
"529",2012,"Turkey",10.9166666666667
"530",2012,"United States",24.25
"531",2013,"England",34.3204545454545
"532",2013,"France",78.2
"533",2013,"Netherlands",14.9
"534",2013,"No Colonizer",16.6277777777778
"535",2013,"Other",29.6935483870968
"536",2013,"Portugal",68.42
"537",2013,"Russia",17.4714285714286
"538",2013,"Spain",26.0222222222222
"539",2013,"Turkey",10.5833333333333
"540",2013,"United States",23.8
"541",2014,"England",33.1886363636364
"542",2014,"France",75.6875
"543",2014,"Netherlands",14.375
"544",2014,"No Colonizer",15.9111111111111
"545",2014,"Other",28.6451612903226
"546",2014,"Portugal",65.34
"547",2014,"Russia",16.65
"548",2014,"Spain",25.0444444444444
"549",2014,"Turkey",10.2666666666667
"550",2014,"United States",23.3
"551",2015,"England",32.1772727272727
"552",2015,"France",73.24375
"553",2015,"Netherlands",13.875
"554",2015,"No Colonizer",15.2722222222222
"555",2015,"Other",27.7
"556",2015,"Portugal",62.38
"557",2015,"Russia",15.9
"558",2015,"Spain",24.1333333333333
"559",2015,"Turkey",10
"560",2015,"United States",22.825
"561",2016,"England",31.1136363636364
"562",2016,"France",70.7375
"563",2016,"Netherlands",13.4
"564",2016,"No Colonizer",14.65
"565",2016,"Other",26.7806451612903
"566",2016,"Portugal",59.96
"567",2016,"Russia",15.2071428571429
"568",2016,"Spain",23.2444444444444
"569",2016,"Turkey",9.76666666666667
"570",2016,"United States",22.275
"571",2017,"England",30.1318181818182
"572",2017,"France",68.43125
"573",2017,"Netherlands",12.925
"574",2017,"No Colonizer",14.0833333333333
"575",2017,"Other",25.9612903225806
"576",2017,"Portugal",57.52
"577",2017,"Russia",14.5785714285714
"578",2017,"Spain",22.4222222222222
"579",2017,"Turkey",9.55
"580",2017,"United States",21.675
"581",2018,"England",29.1977272727273
"582",2018,"France",66.31875
"583",2018,"Netherlands",12.5
"584",2018,"No Colonizer",13.5611111111111
"585",2018,"Other",25.158064516129
"586",2018,"Portugal",55.5
"587",2018,"Russia",13.9785714285714
"588",2018,"Spain",21.6111111111111
"589",2018,"Turkey",9.35
"590",2018,"United States",21.1
